Orthogroup,Arabidopsis ortholog,genemodel,Label,Gene-family,Block-description,Pathway,Localization,qval,WGCNA_ww,WGCNA_d
OG0001129,"AT1G25480,AT1G68600,AT1G18420,AT3G18440,AT2G17470",FUN_023867,ALMT4-1,ALMT,Aluminum-activated malate transporter 4,Metabolite transport,vacuole,,0.0,
OG0001129,"AT1G25480,AT1G68600,AT1G18420,AT3G18440,AT2G17470",FUN_033599,ALMT4-2,ALMT,Aluminum-activated malate transporter 4,Metabolite transport,vacuole,0.3710016980990639,6.0,4.0
OG0000358,AT4G00910,FUN_037498,ALMT10-1,ALMT,Aluminum-activated malate transporter 10,Metabolite transport,vacuole,,,
OG0000358,AT3G11680,FUN_042057,ALMT8-1,ALMT,Aluminum-activated malate transporter 8,Metabolite transport,vacuole,,,
OG0001129,"AT1G25480,AT1G68600,AT1G18420,AT3G18440,AT2G17470",FUN_046866,ALMT3-2,ALMT,Aluminum-activated malate transporter 3,Metabolite transport,vacuole,3.22621014645551e-07,2.0,5.0
OG0000358,AT4G00910,FUN_048205,ALMT10-2,ALMT,Aluminum-activated malate transporter 10,Metabolite transport,vacuole,,,
OG0000358,"AT1G08430,AT1G08440,AT2G27240",FUN_048869,ALMT1-3,ALMT,Aluminum-activated malate transporter 1,Metabolite transport,vacuole,4.1467081807306194e-33,,6.0
OG0000358,"AT1G08430,AT1G08440,AT2G27240",FUN_048870,ALMT1-4,ALMT,Aluminum-activated malate transporter 1,Metabolite transport,vacuole,,,
OG0000358,"AT1G08430,AT4G00910,AT3G11680,AT1G08440,AT2G27240",FUN_048884,ALMT1-5,ALMT,Aluminum-activated malate transporter 1,Metabolite transport,vacuole,0.0485379065073358,2.0,1.0
OG0000951,AT4G25000,FUN_008669,AMY1-1,AMY,Alpha-amylase 1,Starch degradation,chloroplast,,,
OG0000951,AT4G25000,FUN_018918,AMY1-2,AMY,Alpha-amylase 1,Starch degradation,chloroplast,8.4787114003559e-05,14.0,1.0
OG0012833,AT1G69830,FUN_023174,AMY3-2,AMY,Alpha-amylase 3,Starch degradation,chloroplast,0.00817017154563444,5.0,14.0
OG0005106,AT1G76130,FUN_025702,AMY2-1,AMY,Alpha-amylase 2,Starch degradation,chloroplast,2.7196955535441895e-14,11.0,5.0
OG0000951,AT4G25000,FUN_030621,AMY1-3,AMY,Alpha-amylase 1,Starch degradation,chloroplast,,7.0,1.0
OG0000951,AT4G25000,FUN_030959,AMY1-4,AMY,Alpha-amylase 1,Starch degradation,chloroplast,,,
OG0000951,AT4G25000,FUN_030960,AMY1-5,AMY,Alpha-amylase 3,Starch degradation,chloroplast,,,
OG0007197,AT1G69830,FUN_032460,AMY3-1,AMY,Alpha-amylase 3,Starch degradation,chloroplast,,1.0,12.0
OG0000951,AT4G25000,FUN_043765,AMY1-6,AMY,Alpha-amylase 1,Starch degradation,chloroplast,,0.0,
OG0000951,AT4G25000,FUN_046582,AMY1-7,AMY,Alpha-amylase 1,Starch degradation,chloroplast,,,
OG0001660,"AT4G39210, AT2G21590",FUN_002230,APL3-1,APL,Glucose-1-phosphate adenylyltransferase large subunit 3,Starch synthesis,chloroplast,3.99024079642535e-14,3.0,6.0
OG0013080,AT5G19220,FUN_031317,APL1-1,APL,Glucose-1-phosphate adenylyltransferase large subunit 1,Starch synthesis,chloroplast,0.00010780500945077099,3.0,2.0
OG0001660,AT1G27680,FUN_047795,APL2-1,APL,Glucose-1-phosphate adenylyltransferase large subunit 2,Starch synthesis,chloroplast,0.400557967380151,3.0,2.0
OG0001660,"AT4G39210, AT2G21590",FUN_050578,APL3-2,APL,Glucose-1-phosphate adenylyltransferase large subunit 3,Starch synthesis,chloroplast,0.00144160410364683,11.0,2.0
OG0001247,AT5G60100,FUN_005870,APRR3-1,APRR/TOC,Pseudo-response regulator 3,Circadian/Light response,,0.46216206516336,3.0,2.0
OG0001670,"AT5G24470, AT2G46670, AT2G46790",FUN_043860,APRR5-1,APRR/TOC,Pseudo-response regulator 5,Circadian/Light response,,0.6575071806962429,6.0,4.0
OG0002755,AT5G61380,FUN_045345,APRR1-1,APRR/TOC,Pseudo-response regulator 1/Timing of CAB expression 1,Circadian/Light response,,0.818108611538158,5.0,11.0
OG0011608,AT2G46790,FUN_048288,APRR5-3,APRR/TOC,Pseudo-response regulator 5,Circadian/Light response,,0.073383010118885,3.0,2.0
OG0001670,"AT5G24470, AT2G46670, AT2G46790",FUN_051857,APRR5-2,APRR/TOC,Pseudo-response regulator 5,Circadian/Light response,,0.21502326754483,6.0,4.0
OG0007085,AT5G48300,FUN_027406,APS1-1,APS,Glucose-1-phosphate adenylyltransferase small subunit 1,Starch synthesis,chloroplast,0.335288933752094,3.0,2.0
OG0000804,AT5G20730,FUN_012771,ARF7-1,ARF,Auxin response factor 7,Circadian/Light response,,2.07842175560175e-05,2.0,8.0
OG0023937,AT5G20730,FUN_028370,ARF7-2,ARF,Auxin response factor 7,Circadian/Light response,,0.0426220914513849,2.0,1.0
OG0000804,AT5G20730,FUN_036058,ARF7-3,ARF,Auxin response factor 7,Circadian/Light response,,0.0023136667447931102,1.0,1.0
OG0005803,"AT5G19550,AT1G62800",FUN_000897,ASP2-1,ASP,Aspartate aminotransferase 2,Aminotransferase,chloroplast,4.47703594372344e-05,2.0,6.0
,AT4G31990,FUN_010380,ASP5-1,ASP,Aspartate aminotransferase 5,Aminotransferase,chloroplast,3.4301366557421e-14,3.0,2.0
OG0006859,AT4G31990,FUN_010382,ASP5-2,ASP,Aspartate aminotransferase 5,Aminotransferase,chloroplast,4.4862302402622296e-29,3.0,2.0
OG0012245,AT2G30970,FUN_015589,ASP1-1,ASP,Aspartate aminotransferase 1,Aminotransferase,mitochondria,0.19325320418506897,1.0,5.0
OG0005803,AT5G11520,FUN_026477,ASP3-1,ASP,Aspartate aminotransferase 3,Aminotransferase,cytoplasm,6.23012831153013e-06,3.0,2.0
OG0000260,AT2G44910,FUN_039593,ATHB4,ATHB,Homeobox-leucine zipper protein ATHB-4,Circadian/Light response,,,,0.0
OG0000693,AT1G15690,FUN_005463,AVP1-1,AVP,Pyrophosphate-energized vacuolar membrane proton pump 1,Proton transport,vacuole,3.728499363233929e-13,7.0,11.0
OG0000693,AT1G15690,FUN_013141,AVP1-2,AVP,Pyrophosphate-energized vacuolar membrane proton pump 1,Proton transport,vacuole,5.390942453955901e-12,1.0,18.0
OG0000693,AT1G15690,FUN_026063,AVP1-3,AVP,Pyrophosphate-energized vacuolar membrane proton pump 1,Proton transport,vacuole,6.77509790328026e-13,3.0,3.0
OG0000693,AT1G15690,FUN_051576,AVP1-4,AVP,Pyrophosphate-energized vacuolar membrane proton pump 1,Proton transport,vacuole,0.0032030756995210102,3.0,2.0
OG0009928,"AT1G16780, AT1G78920",FUN_025206,AVPL1-1,AVPL,AVP-like 1,Proton transport,vacuole,0.00039406697715622404,3.0,6.0
OG0004635,AT4G15210,FUN_000320,BAM5-1,BAM,Beta-amylase 5,Starch degradation,cytoplasm,5.6640725324701493e-11,7.0,8.0
OG0004635,AT4G15210,FUN_000772,BAM5-2,BAM,Beta-amylase 5,Starch degradation,cytoplasm,0.702738818173203,5.0,2.0
OG0005109,AT3G23920,FUN_005773,BAM1-1,BAM,Beta-amylase 1,Starch degradation,chloroplast,0.54944036701319,1.0,1.0
OG0005109,AT3G23920,FUN_005777,BAM1-2,BAM,Beta-amylase 1,Starch degradation,,,,
OG0010006,AT4G17090,FUN_017370,BAM3-1,BAM,Beta-amylase 3,Starch degradation,chloroplast,1.12872961913933e-08,2.0,1.0
OG0004128,AT5G18670,FUN_020173,BAM9-1,BAM,Beta-amylase 9,Starch degradation,unknown,,4.0,1.0
OG0005109,AT3G23920,FUN_033111,BAM1-3,BAM,Beta-amylase 1,Starch degradation,chloroplast,9.75797979789018e-10,12.0,6.0
OG0004128,AT5G18670,FUN_033226,BAM9-2,BAM,Beta-amylase 9,Starch degradation,unknown,1.00864143562375e-09,2.0,1.0
OG0002447,AT2G45880,FUN_037221,BAM7-1,BAM,Beta-amylase 7,Starch degradation,cytoplasm,0.0028954953350122,1.0,5.0
OG0002447,AT4G00490,FUN_037223,BAM2-1,BAM,Beta-amylase 2,Starch degradation,chloroplast,0.23164617078041003,5.0,2.0
OG0010006,AT4G17090,FUN_041354,BAM3-2,BAM,Beta-amylase 3,Starch degradation,chloroplast,0.00147013891326374,24.0,4.0
OG0014543,AT5G45300,FUN_041865,BAM8-1,BAM,Beta-amylase 8,Starch degradation,cytoplasm,0.0063189381749828,9.0,7.0
OG0013991,AT5G55700,FUN_046357,BAM4-1,BAM,Beta-amylase 4,Starch degradation,chloroplast,0.128746090630681,1.0,1.0
OG0002447,AT4G00490,FUN_049126,BAM2-2,BAM,Beta-amylase 2,Starch degradation,chloroplast,0.0380529390828971,0.0,2.0
OG0008379,"AT4G12030, AT4G22840",FUN_018637,BASS5-1,BASS,Sodium/metabolite cotransporter 5,PEP generation,chloroplast,0.000109602924420207,13.0,1.0
OG0002988,AT2G26900,FUN_026309,BASS2-1,BASS,Sodium/metabolite cotransporter 2,PEP generation,chloroplast,4.3169709245101803e-10,3.0,5.0
OG0013833,AT1G78560,FUN_047630,BASS1-1,BASS,Sodium/metabolite cotransporter 1,PEP generation,chloroplast,0.00203730188594627,4.0,6.0
OG0000420,"AT3G01500, AT5G14740",FUN_002831,BCA1-1,BCA,Beta carbonic anhydrase 1,Carboxylation,unknown,2.61139639338537e-08,3.0,6.0
OG0002810,"AT1G58180, AT4G33580",FUN_003767,BCA5-1,BCA,Beta carbonic anhydrase 5,Carboxylation,unknown,4.899405102152679e-25,1.0,6.0
OG0002810,"AT1G58180, AT4G33580",FUN_003773,BCA5-2,BCA,Beta carbonic anhydrase 5,Carboxylation,unknown,0.000424555017869407,1.0,5.0
OG0000420,"AT3G01500, AT1G23730, AT1G70410, AT5G14740",FUN_009254,BCA1-3,BCA,Beta carbonic anhydrase 1,Carboxylation,unknown,8.195034655161222e-09,5.0,3.0
OG0000420,"AT3G01500, AT1G23730, AT1G70410, AT5G14740",FUN_032219,BCA1-4,BCA,Beta carbonic anhydrase 1,Carboxylation,unknown,0.00016887065130515402,1.0,5.0
OG0000420,"AT3G01500, AT5G14740",FUN_039301,BCA1-2,BCA,Beta carbonic anhydrase 1,Carboxylation,unknown,1.33414203767715e-07,5.0,4.0
OG0002810,"AT1G58180, AT4G33580",FUN_052022,BCA5-3,BCA,Beta carbonic anhydrase 5,Carboxylation,unknown,1.62537804028231e-13,29.0,6.0
OG0002849,AT4G34530,FUN_002236,BHLH63-1,BHLH,Transcription factor bHLH 63,Circadian/Light response,,4.372405555819001e-19,7.0,3.0
OG0000796,"AT3G07340, AT5G48560",FUN_003550,BHLH62-1,BHLH,Transcription factor bHLH 62,Circadian/Light response,,0.0186265843444927,1.0,1.0
OG0006615,AT1G10120,FUN_024352,BHLH74-1,BHLH,Transcription factor bHLH 74,Circadian/Light response,,5.341531708690161e-06,13.0,1.0
OG0014792,AT1G68240,FUN_033478,BHLH109-1,BHLH,Transcription factor bHLH 109,Circadian/Light response,,1.6363904747218697e-09,0.0,6.0
OG0014792,AT1G68240,FUN_033479,BHLH109-2,BHLH,Transcription factor bHLH 109,Circadian/Light response,,,,
OG0000796,"AT3G07340, AT5G48560",FUN_034066,BHLH62-2,BHLH,Transcription factor bHLH 62,Circadian/Light response,,0.23158206459732303,2.0,1.0
OG0000796,"AT3G07340, AT5G48560",FUN_050410,BHLH62-3,BHLH,Transcription factor bHLH 62,Circadian/Light response,,0.00453160910535495,1.0,17.0
OG0002849,AT4G34530,FUN_050554,BHLH63-2,BHLH,Transcription factor bHLH 63,Circadian/Light response,,0.288749985720769,2.0,8.0
OG0001107,AT1G20620,FUN_018693,CAT3-1,CAT,Catalase 3,Photorespiration,unknown,0.0019021365574035198,6.0,4.0
,AT1G20630,FUN_024981,CAT1-1,CAT,Catalase 1,Photorespiration,unknown,,,
OG0001107,"AT1G20620, AT1G20630",FUN_025647,CAT1-2,CAT,Catalase 1,Photorespiration,unknown,7.96415628983103e-07,5.0,4.0
OG0001107,"AT1G20620, AT1G20630",FUN_042653,CAT1-3,CAT,Catalase 1,Photorespiration,unknown,2.71990271920421e-07,1.0,5.0
OG0018408,"AT1G20620, AT1G20630",FUN_042663,CAT1-4,CAT,Catalase 1,Photorespiration,unknown,,1.0,7.0
OG0018076,AT2G46830,FUN_037597,CCA1-1,CCA,CIRCADIAN CLOCK ASSOCIATED 1,Circadian/Light response,,0.359833959812322,1.0,6.0
OG0002422,AT2G46830,FUN_037598,CCA1-2,CCA,CIRCADIAN CLOCK ASSOCIATED 1,Circadian/Light response,,0.728024697995215,1.0,6.0
OG0002422,"AT1G01060, AT2G46830",FUN_048299,CCA1-3,CCA,CIRCADIAN CLOCK ASSOCIATED 1,Circadian/Light response,,0.7642334759214191,1.0,8.0
OG0018157,AT5G39660,FUN_008224,CDF2-1,CDF,Cyclic dof factor 2,Circadian/Light response,,0.647240951773669,2.0,1.0
OG0000654,"AT3G47500, AT5G62430",FUN_011086,CDF1-1,CDF,Cyclic dof factor 1,Circadian/Light response,,3.5687319451679903e-06,21.0,2.0
OG0000654,"AT3G47500, AT5G62430",FUN_021933,CDF1-2,CDF,Cyclic dof factor 1,Circadian/Light response,,0.43660738731385296,1.0,8.0
OG0000021,AT2g34140,FUN_036789,CDF4-1,CDF,Cyclic dof factor 4,Circadian/Light response,,0.00052618587919538,4.0,1.0
OG0000209,AT5G13930,FUN_003771,CHS-1,CHS,Chalcone synthase,Circadian/Light response,,,28.0,
OG0000209,AT5G13930,FUN_020425,CHS-2,CHS,Chalcone synthase,Circadian/Light response,,1.88572575262235e-05,3.0,0.0
OG0000209,AT5G13930,FUN_020427,CHS-3,CHS,Chalcone synthase,Circadian/Light response,,0.0119285423249506,11.0,5.0
OG0000209,AT5G13930,FUN_038393,CHS-4,CHS,Chalcone synthase,Circadian/Light response,,,,
OG0000209,AT5G13930,FUN_041647,CHS-5,CHS,Chalcone synthase,Circadian/Light response,,2.63390949292581e-11,4.0,0.0
OG0000209,AT5G13930,FUN_041852,CHS-6,CHS,Chalcone synthase,Circadian/Light response,,,4.0,
OG0000209,AT5G13930,FUN_041856,CHS-7,CHS,Chalcone synthase,Circadian/Light response,,,4.0,5.0
OG0000209,AT5G13930,FUN_041857,CHS-8,CHS,Chalcone synthase,Circadian/Light response,,,,
OG0000209,AT5G13930,FUN_041858,CHS-9,CHS,Chalcone synthase,Circadian/Light response,,,4.0,
OG0000209,AT5G13930,FUN_042824,CHS-10,CHS,Chalcone synthase,Circadian/Light response,,,,6.0
OG0001041,AT2G23070,FUN_013125,CKA4-1,CK,Casein kinase II subunit alpha 4,Circadian/Light response,,5.0661759778714e-05,34.0,1.0
OG0000983,"AT3G60250, AT5G47080, AT4G17640, AT2G44680",FUN_017357,CKB-1,CK,Casein kinase II subunit beta,Circadian/Light response,,0.0019497597741674,3.0,15.0
OG0001041,"AT2G23080, AT5G67380, AT3G50000",FUN_017806,CKA1-1,CK,Casein kinase II subunit alpha 1,Circadian/Light response,,0.00164411501520768,14.0,11.0
OG0001041,"AT2G23080, AT5G67380, AT3G50000",FUN_030529,CKA1-2,CK,Casein kinase II subunit alpha 1,Circadian/Light response,,0.0107108952257544,5.0,4.0
OG0000983,"AT3G60250, AT5G47080, AT4G17640, AT2G44680",FUN_041340,CKB-2,CK,Casein kinase II subunit beta,Circadian/Light response,,0.00845628626117685,6.0,4.0
OG0000983,"AT3G60250, AT5G47080, AT4G17640, AT2G44680",FUN_049477,CKB-3,CK,Casein kinase II subunit beta,Circadian/Light response,,0.0483754836810763,6.0,14.0
OG0000385,"AT3G02380, AT5G15840, AT5G15850",FUN_016917,COL2-1,CO/COL,Zinc finger protein CONSTANS-LIKE 2,Circadian/Light response,,0.40157804539651,1.0,5.0
OG0012286,AT5G24930,FUN_026857,COL4-1,CO/COL,Zinc finger protein CONSTANS-LIKE 4,Circadian/Light response,,5.7254606529168105e-09,3.0,6.0
OG0000385,"AT3G02380, AT5G15840, AT5G15850",FUN_029688,COL2-2,CO/COL,Zinc finger protein CONSTANS-LIKE 2,Circadian/Light response,,0.405180489980575,1.0,5.0
OG0012286,AT5G57660,FUN_034039,COL5-1,CO/COL,Zinc finger protein CONSTANS-LIKE 5,Circadian/Light response,,0.00254043819355803,3.0,2.0
OG0000385,"AT5G24930, AT2G24790, AT5G57660",FUN_043773,COL5-2,CO/COL,Zinc finger protein CONSTANS-LIKE 5,Circadian/Light response,,0.000619720033135104,3.0,5.0
OG0003002,AT2G32950,FUN_012253,COP1-1,COP,E3 ubiquitin-protein ligase/Constitutive photomorphogenesis protein 1,Circadian/Light response,,1.37331497772526e-05,11.0,2.0
OG0003002,AT2G32950,FUN_012254,COP1-2,COP,E3 ubiquitin-protein ligase/Constitutive photomorphogenesis protein 1,Circadian/Light response,,0.00114611027048778,1.0,9.0
OG0003002,AT2G32950,FUN_027551,COP1-3,COP,E3 ubiquitin-protein ligase/Constitutive photomorphogenesis protein 1,Circadian/Light response,,0.000150221535090527,1.0,1.0
OG0008198,AT5G24850,FUN_001828,CRYD-1,CRY,Cryptochrome DASH,Circadian/Light response,,0.00142560198414773,1.0,5.0
OG0008198,AT1G04400,FUN_015117,CRY2-1,CRY,Cryptochrome 2,Circadian/Light response,,0.007214017611686441,6.0,2.0
OG0005597,AT4G08920,FUN_048638,CRY1-1,CRY,Cryptochrome 1,Circadian/Light response,,0.00555067950784248,1.0,1.0
OG0012089,AT4G10180,FUN_028030,DET1-1,DET,Light-mediated development protein 1,Circadian/Light response,,0.00602099468425139,1.0,19.0
OG0008098,AT5G12860,FUN_036428,DIT1-1,DIT/DCT,Dicarboxylate transporter 1,Photorespiration,chloroplast,3.1783469361869e-05,1.0,6.0
OG0048141,AT5G64290,FUN_045586,DIT2-1,DIT/DCT,Dicarboxylate transporter 2,Photorespiration,chloroplast,0.000253294852053261,2.0,1.0
OG0003941,"AT5G64280, AT5G64290",FUN_049224,DIT2-2,DIT/DCT,Dicarboxylate transporter 2,Photorespiration,chloroplast,,2.0,1.0
OG0005919,AT5G12860,FUN_050761,DIT1-2,DIT/DCT,Dicarboxylate transporter 1,Photorespiration,chloroplast,,,6.0
OG0003941,"AT5G64280, AT5G64290",FUN_051815,DIT2-3,DIT/DCT,Dicarboxylate transporter 2,Photorespiration,chloroplast,8.125191054313149e-05,1.0,13.0
OG0008098,AT5G12860,FUN_052747,DIT1-3,DIT/DCT,Dicarboxylate transporter 1,Photorespiration,chloroplast,1.8431663397718e-07,1.0,6.0
OG0020820,AT5G12860,FUN_052748,DIT1-4,DIT/DCT,Dicarboxylate transporter 1,Photorespiration,chloroplast,0.00090076482739955,1.0,2.0
OG0007076,AT5G64860,FUN_004243,DPE1-1,DPE,4-alpha-glucanotransferase 1,Starch degradation,chloroplast,0.00036420146030393503,5.0,4.0
OG0009822,AT2G40840,FUN_004386,DPE2-1,DPE,4-alpha-glucanotransferase 2,Transitory starch pathway,cytoplasm,,,
OG0009822,AT2G40840,FUN_033978,DPE2-2,DPE,4-alpha-glucanotransferase 2,Transitory starch pathway,cytoplasm,0.6030364610732839,6.0,4.0
OG0010929,AT3G52180,FUN_044506,DSP4-1,DSP,Phosphoglucan phosphatase 4,Starch degradation,chloroplast,0.00045651768214015803,5.0,4.0
OG0018675,AT2G25930,FUN_005140,ELF3-1,ELF,EARLY FLOWERING 3,Circadian/Light response,,0.0017671594904550899,2.0,5.0
OG0008721,AT2G40080,FUN_019119,ELF4-1,ELF,EARLY FLOWERING 4,Circadian/Light response,,0.40872809271064,5.0,4.0
OG0020792,AT2G25930,FUN_019352,ELF3-2,ELF,EARLY FLOWERING 3,Circadian/Light response,,0.00102490905740769,13.0,11.0
OG0008721,AT2G29950,FUN_049029,ELF1-1,ELF,EARLY FLOWERING 1,Circadian/Light response,,0.820499184237822,5.0,4.0
OG0002362,AT2G36530,FUN_041931,ENO2-1,ENO,Enolase 2,Transitory starch pathway,ubiquitous,0.00447097905588273,1.0,2.0
OG0012643,AT2G29560,FUN_049101,ENO3-1,ENO,Enolase 3,Transitory starch pathway,cytoplasm,0.00336026153477621,3.0,5.0
OG0011993,AT1G74030,FUN_053298,ENO1-1,ENO,Enolase 1,Transitory starch pathway,chloroplast,0.133174019063933,5.0,2.0
OG0010511,AT1G54730,FUN_000422,ERDL5-1,ERDL,Sugar transporter ERD-like 5,Starch/sugar transport,vacuole,9.543577086122309e-05,3.0,1.0
OG0008736,AT1G54730,FUN_000423,ERDL5-2,ERDL,Sugar transporter ERD-like 5,Starch/sugar transport,vacuole,0.0361954650123142,4.0,3.0
OG0008736,AT1G54730,FUN_000424,ERDL5-3,ERDL,Sugar transporter ERD-like 5,Starch/sugar transport,vacuole,,4.0,
OG0001784,"AT1G19450, AT1G75220",FUN_009482,ERDL4-1,ERDL,Sugar transporter ERD-like 4,Starch/sugar transport,vacuole,0.000563063088666356,2.0,1.0
,AT5G18840,FUN_020189,ERDL16-1,ERDL,Sugar transporter ERD-like 16,Starch/sugar transport,vacuole,,,
OG0001784,"AT1G19450, AT1G75220",FUN_024549,ERDL4-2,ERDL,Sugar transporter ERD-like 4,Starch/sugar transport,vacuole,3.0504331695155497e-09,29.0,2.0
,AT1G75220,FUN_030678,ERDL6-1,ERDL,Sugar transporter ERD-like 6,Starch/sugar transport,vacuole,,,
OG0000851,AT5G18840,FUN_033204,ERDL16-2,ERDL,Sugar transporter ERD-like 16,Starch/sugar transport,vacuole,0.000134748973978114,5.0,4.0
OG0000851,AT2G48020,FUN_042787,ERDL7-1,ERDL,Sugar transporter ERD-like 7,Starch/sugar transport,vacuole,0.0489055246430297,3.0,2.0
OG0000032,AT2G27110,FUN_053313,FRS3-3,FAR,FAR1-RELATED SEQUENCE 3,Circadian/Light response,,0.000662678597253378,1.0,2.0
OG0009574,"AT2G37678, AT5G02200",FUN_039783,FHY1-1,FAR/FRS/FHY,FAR-RED ELONGATED HYPOCOTYL 1,Circadian/Light response,,9.64879293663647e-06,1.0,2.0
OG0000032,AT3G22170,FUN_053071,FHY3-1,FAR/FRS/FHY,FAR-RED ELONGATED HYPOCOTYL 3,Circadian/Light response,,0.0010757384637762,1.0,1.0
OG0000032,AT1G52520,FUN_053136,FRS6-1,FAR/FRS/FHY,FAR1-RELATED SEQUENCE 6,Circadian/Light response,,0.0444837420222601,2.0,7.0
OG0000032,AT1G80010,FUN_053242,FRS8-1,FAR/FRS/FHY,FAR1-RELATED SEQUENCE 8,Circadian/Light response,,0.000383449725503744,4.0,1.0
OG0000032,AT2G27110,FUN_053251,FRS3-1,FAR/FRS/FHY,FAR1-RELATED SEQUENCE 3,Circadian/Light response,,2.04466296736425e-06,16.0,8.0
OG0000032,AT4G15090,FUN_053289,FAR1-1,FAR/FRS/FHY,FAR-RED IMPAIRED RESPONSE 1,Circadian/Light response,,0.000178083768853693,9.0,7.0
OG0000032,AT4G38170,FUN_053299,FRS9-1,FAR/FRS/FHY,FAR1-RELATED SEQUENCE 9,Circadian/Light response,,0.000219102956872474,3.0,2.0
OG0000032,AT1G76320,FUN_053310,FRS4-1,FAR/FRS/FHY,FAR1-RELATED SEQUENCE 4,Circadian/Light response,,0.00040678051299664704,4.0,0.0
OG0000032,AT2G27110,FUN_053312,FRS3-2,FAR/FRS/FHY,FAR1-RELATED SEQUENCE 3,Circadian/Light response,,,0.0,0.0
OG0001134,AT2G21330,FUN_002164,FBA1-1,FBA,Fructose-bisphosphate aldolase 1,Transitory starch pathway,chloroplast,8.02671432801808e-10,3.0,6.0
OG0001899,"AT4G26520, AT4G26530",FUN_005835,FBA5-1,FBA,Fructose-bisphosphate aldolase 5,Transitory starch pathway,cytoplasm,1.7346539445861302e-06,6.0,2.0
OG0001899,"AT4G26520, AT4G26530",FUN_020541,FBA5-2,FBA,Fructose-bisphosphate aldolase 5,Transitory starch pathway,cytoplasm,,,
OG0001134,"AT2G21330, AT4G38970",FUN_021690,FBA2-1,FBA,Fructose-bisphosphate aldolase 2,Transitory starch pathway,chloroplast,0.0040152506645113,3.0,6.0
OG0001134,"AT2G21330, AT4G38970",FUN_039132,FBA2-2,FBA,Fructose-bisphosphate aldolase 2,Transitory starch pathway,chloroplast,0.0157534249405641,5.0,6.0
OG0001899,"AT4G26520, AT4G26530",FUN_046463,FBA5-3,FBA,Fructose-bisphosphate aldolase 5,Transitory starch pathway,cytoplasm,0.0698684224249436,1.0,6.0
OG0036305,"AT1G65480, AT4G20370",FUN_045066,FT-1,FT,FLOWERING LOCUS T,Circadian/Light response,,0.067619381834644,0.0,2.0
OG0003667,"AT1G65480, AT4G20370",FUN_052531,FT-2,FT,FLOWERING LOCUS T,Circadian/Light response,,2.62384790332532e-06,1.0,1.0
OG0003667,"AT1G65480, AT4G20370",FUN_052540,FT-3,FT,FLOWERING LOCUS T,Circadian/Light response,,0.504650468053036,1.0,5.0
